task,model,state,year,shift,atc,doc,acc_drop_check
income,logreg,MA,2015,combined,0.012249999999999983,0.010444581508636475,0.011375000000000024
income,logreg,MA,2016,combined,0.013249999999999984,0.012428760528564453,0.017000000000000015
income,logreg,MA,2017,combined,0.01924999999999999,0.014357984066009521,0.02300000000000002
income,logreg,MA,2018,combined,0.01649999999999996,0.01834571361541748,0.029249999999999998
income,rf,CA,2015,temporal,0.01200000000000001,0.005579541858039105,0.00012500000000004174
income,rf,CA,2016,temporal,0.0035000000000000586,0.0025084972867840394,0.0002500000000000835
income,rf,CA,2017,temporal,0.014500000000000068,0.007784336310434514,0.010000000000000009
income,rf,CA,2018,temporal,0.004125000000000045,0.004279811885227192,0.01187500000000008
income,rf,TX,2014,geographic,0.02300000000000002,0.009570454104748438,0.012624999999999997
income,rf,TX,2015,combined,0.012375000000000025,0.006329593397436328,0.014125000000000054
income,rf,TX,2016,combined,0.009500000000000064,0.006683918341445105,0.00462499999999999
income,rf,TX,2017,combined,0.014249999999999985,0.009648926019113935,0.009875000000000078
income,rf,TX,2018,combined,0.017625000000000002,0.011853063029661381,0.02212500000000006
income,rf,NY,2014,geographic,0.01200000000000001,0.0073078295649915415,0.020750000000000046
income,rf,NY,2015,combined,0.016000000000000014,0.009991163730764363,0.01475000000000004
income,rf,NY,2016,combined,0.035250000000000004,0.014217955952910533,0.03325
income,rf,NY,2017,combined,0.024375000000000036,0.0122465215839207,0.01737500000000003
income,rf,NY,2018,combined,0.02375000000000005,0.013491616189058031,0.027750000000000052
income,rf,FL,2014,geographic,0.030000000000000027,0.01691688176053263,0.02400000000000002
income,rf,FL,2015,combined,0.03200000000000003,0.017939024749348165,0.02400000000000002
income,rf,FL,2016,combined,0.03587499999999999,0.018839346277391478,0.024500000000000077
income,rf,FL,2017,combined,0.04800000000000004,0.022701263650127146,0.03500000000000003
income,rf,FL,2018,combined,0.03649999999999998,0.021564511578948453,0.04200000000000004
income,rf,PA,2014,geographic,0.024625000000000008,0.01098902815561642,0.008624999999999994
income,rf,PA,2015,combined,0.030500000000000083,0.012770649321737881,0.014000000000000012
income,rf,PA,2016,combined,0.027125000000000066,0.01344609823014975,0.022249999999999992
income,rf,PA,2017,combined,0.029249999999999998,0.015700994920554656,0.018125000000000058
income,rf,PA,2018,combined,0.03025,0.014774973829953186,0.02124999999999999
income,rf,OH,2014,geographic,0.008500000000000063,0.002308327869973925,0.0002500000000000835
income,rf,OH,2015,combined,0.015750000000000042,0.007419921704494459,0.010249999999999981
income,rf,OH,2016,combined,0.017875000000000085,0.010059535489277516,0.009750000000000036
income,rf,OH,2017,combined,0.035499999999999976,0.015332351456424864,0.013624999999999998
income,rf,OH,2018,combined,0.028249999999999997,0.013707337093518346,0.01650000000000007
income,rf,IL,2014,geographic,0.021625000000000005,0.01041262822419664,0.017625000000000002
income,rf,IL,2015,combined,0.014125000000000054,0.010042161315260478,0.016249999999999987
income,rf,IL,2016,combined,0.025000000000000022,0.014290016808970019,0.02012500000000006
income,rf,IL,2017,combined,0.03287499999999999,0.0159953042133818,0.02124999999999999
income,rf,IL,2018,combined,0.027874999999999983,0.014905797117612973,0.03575000000000006
income,rf,GA,2014,geographic,0.02100000000000002,0.010035246386836949,0.008125000000000049
income,rf,GA,2015,combined,0.015000000000000013,0.010163396559849769,0.011750000000000038
income,rf,GA,2016,combined,0.016249999999999987,0.012959501000589624,0.017125000000000057
income,rf,GA,2017,combined,0.018000000000000016,0.012130352985622261,0.01100000000000001
income,rf,GA,2018,combined,0.03125,0.013731046577170058,0.024249999999999994
income,rf,NC,2014,geographic,0.02650000000000008,0.011343804280776859,0.008750000000000036
income,rf,NC,2015,combined,0.03675000000000006,0.01759124411008195,0.024125000000000063
income,rf,NC,2016,combined,0.02487499999999998,0.014587063271163103,0.023375000000000035
income,rf,NC,2017,combined,0.03600000000000003,0.01773791262061941,0.027125000000000066
income,rf,NC,2018,combined,0.03837500000000005,0.017182349797599472,0.027000000000000024
income,rf,WA,2014,geographic,0.02487499999999998,0.011807024403948874,0.02212500000000006
income,rf,WA,2015,combined,0.03225,0.01554501825269794,0.02287499999999998
income,rf,WA,2016,combined,0.024500000000000077,0.014381006044148714,0.01637500000000003
income,rf,WA,2017,combined,0.03037500000000004,0.014894840483895666,0.02562500000000001
income,rf,WA,2018,combined,0.03737500000000005,0.016737472745843585,0.021874999999999978
income,rf,AZ,2014,geographic,0.02587499999999998,0.009894006427617619,0.01650000000000007
income,rf,AZ,2015,combined,0.018625000000000003,0.006241864401080877,0.009875000000000078
income,rf,AZ,2016,combined,0.02112500000000006,0.009685877938407028,0.014500000000000068
income,rf,AZ,2017,combined,0.017750000000000044,0.005684578909256555,0.013249999999999984
income,rf,AZ,2018,combined,0.02575000000000005,0.01183253354931979,0.016125000000000056
income,rf,MA,2014,geographic,0.005875000000000075,0.002689978840962337,0.00012500000000004174
income,rf,MA,2015,combined,-0.0014999999999999458,0.0015563525605614137,0.0040000000000000036
income,rf,MA,2016,combined,0.007000000000000006,0.0044843849191289475,0.012125000000000052
income,rf,MA,2017,combined,0.004125000000000045,0.004545703517403132,0.016625
income,rf,MA,2018,combined,0.004249999999999976,0.007860938614860036,0.016125000000000056
income,xgb,CA,2015,temporal,0.011499999999999955,0.005331575870513916,0.008375000000000021
income,xgb,CA,2016,temporal,0.003375000000000017,0.0032131075859069824,0.00275000000000003
income,xgb,CA,2017,temporal,0.009499999999999953,0.007130861282348633,0.009375000000000022
income,xgb,CA,2018,temporal,0.006124999999999936,0.005112171173095703,0.015249999999999986
income,xgb,TX,2014,geographic,0.02300000000000002,0.008581995964050293,0.013749999999999929
income,xgb,TX,2015,combined,0.008749999999999925,0.004514515399932861,0.01387499999999997
income,xgb,TX,2016,combined,0.01387499999999997,0.005526065826416016,0.008624999999999994
income,xgb,TX,2017,combined,0.014375000000000027,0.009474337100982666,0.013749999999999929
income,xgb,TX,2018,combined,0.016625,0.010922133922576904,0.026000000000000023
income,xgb,NY,2014,geographic,0.011749999999999927,0.007582247257232666,0.02200000000000002
income,xgb,NY,2015,combined,0.023625000000000007,0.010421276092529297,0.02287499999999998
income,xgb,NY,2016,combined,0.03325,0.014636218547821045,0.032625000000000015
income,xgb,NY,2017,combined,0.024249999999999994,0.012411296367645264,0.022625000000000006
income,xgb,NY,2018,combined,0.02387499999999998,0.013898253440856934,0.03137499999999993
income,xgb,FL,2014,geographic,0.02774999999999994,0.01622605323791504,0.02949999999999997
income,xgb,FL,2015,combined,0.032625000000000015,0.017654478549957275,0.028249999999999997
income,xgb,FL,2016,combined,0.040874999999999995,0.019841134548187256,0.02762500000000001
income,xgb,FL,2017,combined,0.04337499999999994,0.02211374044418335,0.036250000000000004
income,xgb,FL,2018,combined,0.03037499999999993,0.021068453788757324,0.04337499999999994
income,xgb,PA,2014,geographic,0.028749999999999942,0.012516677379608154,0.009000000000000008
income,xgb,PA,2015,combined,0.02674999999999994,0.013426005840301514,0.01824999999999999
