task,model,state,year,shift,acc_src,acc_drop,auc_drop,ap_drop,cov,pred,expl,n_target,atc,doc,cov_z,pred_z,expl_z,atc_z,doc_z
income,logreg,CA,2015,temporal,0.7795,0.0088749999999999,0.0030330191827272,-0.0302445962816683,0.0132080174623536,0.023875,0.0226512420922517,8000,0.015000000000000013,0.004940986633300781,-1.7595407316982317,-1.0287389969767482,-0.7227866917488611,0.06563869099025442,-0.13949701611476475
income,logreg,CA,2016,temporal,0.7795,0.005375,-0.004136237375604,-0.0446748753907922,0.0126505790661193,0.018375,0.0238057039678096,8000,0.004749999999999921,0.003605067729949951,-1.7708066159128404,-1.3037914421946317,-0.6404135534861164,-0.3602352299004724,-0.3122328016343612
income,logreg,CA,2017,temporal,0.7795,0.0153749999999999,0.0035211350763777,-0.0528274246328195,0.0240636991596319,0.026375,0.0398830473423004,8000,0.008874999999999966,0.006579101085662842,-1.5401463485729254,-0.9037151582413466,0.506736696100566,-0.18884694466396004,0.0723129867155154
income,logreg,CA,2018,temporal,0.7795,0.0243749999999999,0.0065221573056464,-0.0553626428603059,0.0273390615128885,0.0285,0.0121626686304807,8000,0.008874999999999966,0.006758570671081543,-1.473950956791611,-0.7974448953162552,-1.471167153882266,-0.18884694466396004,0.09551860176925676
income,logreg,TX,2014,geographic,0.7795,0.0031249999999999,0.0089841499806126,0.023734172609567,0.1079209181790452,0.042875,0.0410321503877639,8000,0.01824999999999999,0.008418798446655273,0.15461620530524514,-0.07855782258769592,0.5887274712366989,0.2006718854190192,0.3101878816453483
income,logreg,TX,2015,combined,0.7795,0.0091249999999999,0.0073762675049908,-0.0016105768836895,0.0734404109636988,0.031875,0.0221695285290479,8000,0.0063750000000000195,0.005466043949127197,-0.542238199725369,-0.6286627130234631,-0.7571579072778716,-0.2927186326860854,-0.07160652690572869
income,logreg,TX,2016,combined,0.7795,0.0021249999999999,0.0001659035873069,-0.0101753797980244,0.0837372733579586,0.034375,0.0087520331144332,8000,0.015000000000000013,0.0063710808753967285,-0.3341376090751126,-0.5036388742880613,-1.714522743941436,0.06563869099025442,0.04541574442472918
income,logreg,TX,2017,combined,0.7795,0.007375,0.0114746012500634,0.002619440115683,0.0894990963639303,0.048625,0.013061175122857,8000,0.021625000000000005,0.010103404521942139,-0.21769060562351955,0.20899700650372766,-1.4070569384706744,0.3408986642488921,0.5280093025234259
income,logreg,TX,2018,combined,0.7795,0.0161249999999999,0.0152698796404044,-0.0079362388400627,0.0881869176542591,0.058125,0.0739857852458953,8000,0.02474999999999994,0.012875616550445557,-0.24420986499261588,0.6840875936982538,2.9400344982591977,0.4707382742765488,0.8864593709888893
income,logreg,NY,2014,geographic,0.7795,0.0217499999999999,0.0194891801787909,-0.0083310680077043,0.0722250351617439,0.048375,0.0332456044852733,8000,0.02287499999999998,0.014034628868103027,-0.566801062912687,0.19649462263018747,0.033142019872091366,0.39283450825995475,1.0363209401419948
income,logreg,NY,2015,combined,0.7795,0.021625,0.0163122228686605,-0.0096903915975531,0.101067154268617,0.047625,0.0273271910846233,8000,0.020749999999999935,0.01371544599533081,0.01610096995232577,0.15898747100956695,-0.38914848245586825,0.3045435734411445,0.9950502431600005
income,logreg,NY,2016,combined,0.7795,0.034625,0.0257032006721278,-0.0176463719673952,0.0687476187285687,0.065,0.0482436865568161,8000,0.03125,0.017545759677886963,-0.6370799873046535,1.0279031502206082,1.103284840793013,0.7408046631340829,1.4903140208363628
income,logreg,NY,2017,combined,0.7795,0.0257499999999999,0.0148893780739916,-0.0447291868869322,0.0771417363257813,0.068,0.0274643711745739,8000,0.026000000000000023,0.018555939197540283,-0.46743405409868444,1.1779317567030902,-0.3793604117056447,0.5226741182876161,1.6209313452903011
income,logreg,NY,2018,combined,0.7795,0.0364999999999999,0.0236645086564794,-0.0389267711749634,0.1307985766277719,0.070125,0.0521373152732849,8000,0.025499999999999967,0.018527567386627197,0.6169759080559484,1.2842020196281816,1.3811029510276909,0.5018997806831882,1.6172628388919015
income,logreg,FL,2014,geographic,0.7795,0.0172499999999999,0.0259590510034338,0.0849695591359424,0.047857156254103,0.055125,0.0318712852895259,8000,0.029124999999999956,0.01828867197036743,-1.0592782661043036,0.5340589872157717,-0.06491837304797504,0.6525137283152727,1.5863733984616806
income,logreg,FL,2015,combined,0.7795,0.0184999999999999,0.0186518865750904,0.0701401958130644,0.0817672648409486,0.05975,0.0394866429269313,8000,0.030124999999999957,0.018558502197265625,-0.3739516728431549,0.7653530888762645,0.47845245700485584,0.6940624035241237,1.6212627439775513
income,logreg,FL,2016,combined,0.7795,0.0144999999999999,0.0166472339536967,0.0569218259560976,0.0741972376088626,0.05825,0.0509652346372604,8000,0.02949999999999997,0.017376482486724854,-0.5269426596037259,0.6903387856350238,1.2974726793570266,0.6680944815185924,1.4684262935854078
income,logreg,FL,2017,combined,0.7795,0.0293749999999999,0.0348142843149147,0.0501069625341163,0.0921738991295444,0.073125,0.029256647452712,8000,0.02949999999999997,0.02284872531890869,-0.16363258152993368,1.434230626110663,-0.25147795426826774,0.6680944815185924,2.175993318649818
income,logreg,FL,2018,combined,0.7795,0.0341249999999999,0.0351611890995791,0.0338680761579018,0.0859584310048444,0.076375,0.0405119061470031,8000,0.03587499999999999,0.022691309452056885,-0.28924779696089536,1.5967616164666851,0.5516070156531164,0.9329672859750184,2.155639273695673
income,logreg,PA,2014,geographic,0.7795,0.0011249999999999,0.013836312609799,0.0349069979421773,0.0806035037718986,0.043,0.0469855815172195,8000,0.017874999999999974,0.013833880424499512,-0.3974713972574665,-0.07230663065092618,1.0135165577774607,0.18509113221569948,1.0103639452894537
income,logreg,PA,2015,combined,0.7795,0.009375,0.0137378432719547,0.0160975667330898,0.0895394692266515,0.0515,0.0561250820755958,8000,0.020000000000000018,0.014010846614837646,-0.21687466614051681,0.35277442104943924,1.6656379998854953,0.27338206703450973,1.03324586860216
income,logreg,PA,2016,combined,0.7795,0.022625,0.0303296013665893,0.040196097164312,0.0834295237430933,0.0535,0.0308144465088844,8000,0.029749999999999943,0.01850593090057373,-0.3403572587289293,0.4527934920377606,-0.14032591039704803,0.678481650320804,1.6144652174158112
income,logreg,PA,2017,combined,0.7795,0.0213749999999999,0.0240246003299506,0.0200649725031258,0.0960804064322946,0.056,0.0514885261654853,8000,0.03499999999999992,0.019930720329284668,-0.08468168892258478,0.5778173307731623,1.3348105649284854,0.8966121951672709,1.798692059742159
income,logreg,PA,2018,combined,0.7795,0.0248749999999999,0.0227882846881449,0.0038620041943807,0.1032348570308498,0.054125,0.0654194056987762,8000,0.021874999999999978,0.017272591590881348,0.05991045364770011,0.48404945172161107,2.328806373896073,0.3512858330511037,1.454993086332445
income,logreg,OH,2014,geographic,0.7795,-0.006875,0.0085959555651899,0.0517842848943419,0.0832406966412651,0.031875,0.0545066520571708,8000,0.003874999999999962,0.00965869426727295,-0.344173472825675,-0.6286627130234631,1.5501598169339152,-0.3965903207082153,0.4705077768123784
income,logreg,OH,2015,combined,0.7795,0.0,0.0116670208798849,0.0369079928598081,0.0971101674126984,0.040625,0.0657978504896164,8000,0.02400000000000002,0.015359878540039062,-0.06387011933512662,-0.19107927744955747,2.355809158258813,0.43957676786991395,1.207677182289084
income,logreg,OH,2016,combined,0.7795,0.0042499999999999,0.0106383076856295,0.0332437414686218,0.1051594325509208,0.045,0.0738616362214088,8000,0.025249999999999995,0.017319798469543457,0.0988063121279564,0.027712440337395176,2.931176219804338,0.4915126118809766,1.4610969877348239
income,logreg,OH,2017,combined,0.7795,0.0048749999999999,0.0081282048324828,0.0018282330051883,0.0791023907442671,0.050375,0.0532159022986888,8000,0.03299999999999992,0.018884658813476562,-0.42780903757176775,0.2965136936185088,1.4580622686570084,0.8135148447495688,1.6634351536667153
income,logreg,OH,2018,combined,0.7795,0.0124999999999999,0.0077659455074565,-0.0238005026709762,0.0931884102540254,0.057875,0.0596517994999885,8000,0.03249999999999997,0.018850862979888916,-0.14312921301415713,0.6715852098247136,1.9172762637066734,0.7927405071451455,1.6590653151627395
income,logreg,IL,2014,geographic,0.7795,0.0154999999999999,0.0155417392348607,0.0092277650570535,0.0716845421135528,0.06125,0.0165007710456848,8000,0.036374999999999935,0.019312024116516113,-0.5777244799949265,0.8403673921175056,-1.1616349661061502,0.9537416235794417,1.7186939580291616
income,logreg,IL,2015,combined,0.7795,0.0182499999999999,0.014271496476922,-0.0033531137695743,0.1080472943174215,0.067,0.0359521806240081,8000,0.03412499999999996,0.019549965858459473,0.15717027935549818,1.1279222212089295,0.22626158078171993,0.860257104359528,1.7494600873199406
income,logreg,IL,2016,combined,0.7795,0.022,0.0176224650469699,0.0015361618152427,0.0843207770048561,0.069625,0.0446582958102226,8000,0.03799999999999992,0.022508859634399414,-0.3223449436090146,1.2591972518811012,0.8474601193812402,1.0212582207938241,2.1320483113311752
income,logreg,IL,2017,combined,0.7795,0.027,0.0169433852935733,-0.0204176295408401,0.1027501757930198,0.0725,0.0618184655904769,8000,0.03387499999999999,0.02220088243484497,0.05011499868214218,1.4029746664268126,2.0718721747710838,0.8498699355573164,2.0922265202376247
income,logreg,IL,2018,combined,0.7795,0.0358749999999999,0.0257487446661236,-0.017879060430994,0.0746516874607485,0.074375,0.0263410005718469,8000,0.03674999999999995,0.02114945650100708,-0.5177581838889588,1.4967425454783638,-0.4595151261556266,0.9693223767827615,1.9562759890028196
income,logreg,GA,2014,geographic,0.7795,0.0017499999999999,0.002493237835041,0.0352308186869135,0.0251890756302519,0.051625,0.0243117660284042,8000,0.018749999999999933,0.01384812593460083,-1.5174023806268764,0.35902561298620933,-0.6043050245087142,0.22144622302344244,1.0122059054348687
income,logreg,GA,2015,combined,0.7795,0.0108749999999999,0.0130376513901127,0.0491640935190228,0.0331964369432724,0.0485,0.0342111624777317,8000,0.019874999999999976,0.01384645700454712,-1.3555728295474607,0.20274581456695756,0.1020364924375347,0.2681884826334016,1.0119901109408451
income,logreg,GA,2016,combined,0.7795,0.005375,0.0058414967361638,0.0004280001329564,0.0398199335176066,0.0615,0.0432156100869178,8000,0.02112499999999995,0.016710400581359863,-1.2217113194570386,0.8528697759910457,0.7445216394959303,0.3201243266444643,1.3823011696313858
income,logreg,GA,2017,combined,0.7795,0.0101249999999999,0.0070102614985434,-0.0094267435927176,0.0642207477876815,0.06175,0.0391692630946636,8000,0.026499999999999968,0.015052378177642822,-0.7285684893867316,0.8653721598645859,0.4558067782183131,0.5434484558920393,1.167917046765254
income,logreg,GA,2018,combined,0.7795,0.0182499999999999,0.0134115356458035,-0.0071517165894638,0.0828114518145024,0.073875,0.0384985283017158,8000,0.02774999999999994,0.01798933744430542,-0.35284855253079767,1.4717377777312834,0.4079485240768134,0.5953842999031019,1.5476691145693229
income,logreg,NC,2014,geographic,0.7795,0.0086249999999999,0.0072968578292154,0.0510657486940986,0.0496602556201764,0.057625,0.0333123505115509,8000,0.029874999999999985,0.01796180009841919,-1.0228374525133446,0.6590828259511734,0.03790448086578762,0.6836752347219122,1.544108505417935
income,logreg,NC,2015,combined,0.7795,0.0223749999999999,0.019144049297238,0.0738606045249653,0.0531967475625843,0.06825,0.0310061201453208,8000,0.03587499999999999,0.022083699703216553,-0.9513646063330143,1.1904341405766303,-0.12664961732078803,0.9329672859750184,2.077074663978689
income,logreg,NC,2016,combined,0.7795,0.015625,0.0130078363825808,0.0384723600290403,0.0127938787049868,0.0705,0.0513522922992706,8000,0.032749999999999946,0.02040940523147583,-1.767910516271369,1.302955595438491,1.3250900091133802,0.8031276759473571,1.8605865447958279
income,logreg,NC,2017,combined,0.7795,0.0294999999999999,0.0283656229758463,0.0630996417977632,0.0641086061090936,0.083,0.0595974288880825,8000,0.04062500000000002,0.024294495582580566,-0.7308348836199559,1.9280747891154997,1.9133968130060612,1.130323493217062,2.36293300604389
