task,model,state,year,shift,acc_src,acc_drop,auc_drop,ap_drop,cov,pred,expl,n_target
income,logreg,WA,2015,combined,0.7795,0.03249999999999997,0.02373592123366075,-0.012227305089248741,0.04526905454591823,0.074125,0.06125062704086304,8000
income,logreg,WA,2016,combined,0.7795,0.023249999999999993,0.02336881291023818,-0.014023205967492292,0.04822885265395205,0.074625,0.044451795518398285,8000
income,logreg,WA,2017,combined,0.7795,0.041749999999999954,0.025887188497177083,-0.0367163598892557,0.06444606554030519,0.077625,0.038815200328826904,8000
income,logreg,WA,2018,combined,0.7795,0.03149999999999997,0.021112400128233344,-0.04706376451680638,0.05344025601440072,0.075625,0.039323870092630386,8000
income,logreg,AZ,2014,geographic,0.7795,0.016625,0.023904348109875517,0.06620422765696699,0.03758024999999998,0.03325,0.03915403038263321,8000
income,logreg,AZ,2015,combined,0.7795,0.00737500000000002,0.012918971815325087,0.04636501817558747,0.017281228122812298,0.0295,0.031248465180397034,8000
income,logreg,AZ,2016,combined,0.7795,0.010375000000000023,0.017342485500065008,0.05302003332334859,0.004718510616648963,0.035875,0.03419412299990654,8000
income,logreg,AZ,2017,combined,0.7795,0.002749999999999919,0.007244988732395097,0.019172266296959894,0.008064502002111729,0.027,0.02534257061779499,8000
income,logreg,AZ,2018,combined,0.7795,0.018000000000000016,0.019421312339998664,0.01657896944327031,0.019235312691961326,0.044125,0.07456739246845245,8000
income,logreg,MA,2014,geographic,0.7795,0.008874999999999966,-0.008595262632166256,-0.09039928635167127,0.15168972379204804,0.072375,0.04134274646639824,8000
income,logreg,MA,2015,combined,0.7795,0.011375000000000024,-0.007126703978661553,-0.08045480521688808,0.1500152503812595,0.069375,0.04177829995751381,8000
income,logreg,MA,2016,combined,0.7795,0.017000000000000015,-0.00046952771105446267,-0.0869383991333883,0.15537579844934513,0.0745,0.0499543771147728,8000
income,logreg,MA,2017,combined,0.7795,0.02300000000000002,0.0016175276141809913,-0.08490153457069904,0.18678192819281936,0.085125,0.07768281549215317,8000
income,logreg,MA,2018,combined,0.7795,0.029249999999999998,0.0038710481168002797,-0.10237281365735196,0.2135528542114169,0.102375,0.04010709747672081,8000
income,rf,CA,2015,temporal,0.784,0.00012500000000004174,0.0027633786778821223,-0.013875783414712961,0.013208017462353672,0.02175,0.015713159378664958,8000
income,rf,CA,2016,temporal,0.784,0.0002500000000000835,-0.0008252796047236721,-0.016652242921744942,0.012650579066119327,0.01475,0.02180466204342132,8000
income,rf,CA,2017,temporal,0.784,0.010000000000000009,0.007011871710018935,-0.024374823414112234,0.024063699159631913,0.028875,0.021317332336193737,8000
income,rf,CA,2018,temporal,0.784,0.01187500000000008,0.011887696714605323,-0.020741993274418835,0.027339061512888563,0.02375,0.011703238507975295,8000
income,rf,TX,2014,geographic,0.784,0.012624999999999997,0.022256517945812626,0.07100575078220583,0.10792091817904526,0.0365,0.028141395505296284,8000
income,rf,TX,2015,combined,0.784,0.014125000000000054,0.021328270069117417,0.051477057588170894,0.0734404109636988,0.02825,0.016951641341769047,8000
income,rf,TX,2016,combined,0.784,0.00462499999999999,0.011275375193954718,0.03386680820909882,0.08373727335795866,0.031,0.012839429004959577,8000
income,rf,TX,2017,combined,0.784,0.009875000000000078,0.01853333250196154,0.03793827196787991,0.08949909636393039,0.04275,0.02534120681390853,8000
income,rf,TX,2018,combined,0.784,0.02212500000000006,0.029082750434042515,0.04145428418795749,0.08818691765425912,0.04975,0.0462026859984926,8000
income,rf,NY,2014,geographic,0.784,0.020750000000000046,0.023345843430493174,0.011416887797650488,0.07222503516174394,0.034625,0.03184665163654661,8000
income,rf,NY,2015,combined,0.784,0.01475000000000004,0.022339342677447194,0.016048110162838358,0.10106715426861701,0.042125,0.017307494433069323,8000
income,rf,NY,2016,combined,0.784,0.03325,0.030735617428517603,0.01160216947895265,0.06874761872856872,0.059875,0.03384220378249465,8000
income,rf,NY,2017,combined,0.784,0.01737500000000003,0.01887852177454874,-0.012756097486536944,0.07714173632578136,0.054,0.02717360126482423,8000
income,rf,NY,2018,combined,0.784,0.027750000000000052,0.026292177352914337,-0.008864609921360067,0.13079857662777195,0.056,0.043438793527937676,8000
income,rf,FL,2014,geographic,0.784,0.02400000000000002,0.032097167543659766,0.11771320091735227,0.04785715625410303,0.05225,0.017948814306161708,8000
income,rf,FL,2015,combined,0.784,0.02400000000000002,0.030340820717455808,0.11335001003224798,0.08176726484094865,0.059875,0.03894995568293164,8000
income,rf,FL,2016,combined,0.784,0.024500000000000077,0.03371256027586922,0.11033399952818157,0.07419723760886265,0.059625,0.031539014562882904,8000
income,rf,FL,2017,combined,0.784,0.03500000000000003,0.0462653793202612,0.10009197131561598,0.09217389912954443,0.065,0.03326882614919301,8000
income,rf,FL,2018,combined,0.784,0.04200000000000004,0.04505153293409414,0.07947297074353954,0.08595843100484446,0.07575,0.028937855078519814,8000
income,rf,PA,2014,geographic,0.784,0.008624999999999994,0.023890143846063916,0.06361891320309088,0.08060350377189862,0.033625,0.03095310650411529,8000
income,rf,PA,2015,combined,0.784,0.014000000000000012,0.021663281645974086,0.037342952621010395,0.08953946922665157,0.04175,0.022016135702625138,8000
income,rf,PA,2016,combined,0.784,0.022249999999999992,0.03346630891989044,0.05914032398416347,0.08342952374309331,0.046375,0.011849801493690238,8000
income,rf,PA,2017,combined,0.784,0.018125000000000058,0.026898477118237896,0.049935816039854086,0.09608040643229465,0.046875,0.045380021348733555,8000
income,rf,PA,2018,combined,0.784,0.02124999999999999,0.026600716857593354,0.03096868328813318,0.10323485703084989,0.050125,0.046359028478075104,8000
income,rf,OH,2014,geographic,0.784,0.0002500000000000835,0.017283229619391216,0.08629763867488138,0.0832406966412651,0.022125,0.0360425822847588,8000
income,rf,OH,2015,combined,0.784,0.010249999999999981,0.020578418190830616,0.06836526713785018,0.0971101674126984,0.024875,0.05440072889122109,8000
income,rf,OH,2016,combined,0.784,0.009750000000000036,0.01991414967696692,0.06263423160859982,0.10515943255092086,0.03575,0.049369241497695594,8000
income,rf,OH,2017,combined,0.784,0.013624999999999998,0.019859500576777323,0.04204080250058606,0.07910239074426717,0.04475,0.04156903448432064,8000
income,rf,OH,2018,combined,0.784,0.01650000000000007,0.020489101276008448,0.02848435693657858,0.09318841025402547,0.047625,0.030981102996805454,8000
income,rf,IL,2014,geographic,0.784,0.017625000000000002,0.020193806213563703,0.03783472657787057,0.0716845421135528,0.043875,0.01304552031427995,8000
