task,model,state,year,shift,n_target,ace_iso_tgt,acc_src,auc_src,ap_src,brier_src,ace_src,dp_sex_src,eo_sex_src,dp_rac_src,eo_rac_src,acc_tgt,auc_tgt,ap_tgt,brier_tgt,ace_tgt,dp_sex_tgt,eo_sex_tgt,dp_rac_tgt,eo_rac_tgt
income,logreg,NY,2015,combined,8000,0.017429485832108186,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.757875,0.8282081629807334,0.6987212304183564,0.16238127731511878,0.024530186877675064,0.0658751510019927,0.00880797016763446,0.1349038651195997,0.09474361666384165
income,logreg,NY,2016,combined,8000,0.02226534368004649,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.744875,0.8188171851772661,0.7066772107881986,0.16949317813999148,0.02480917467668292,0.06324945810067217,0.018526786818598553,0.12082595009260577,0.0676576244750644
income,logreg,NY,2017,combined,8000,0.02559248212724924,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.75375,0.8296310077754023,0.7337600257077356,0.1650969494328944,0.027177664237144204,0.07364993538733594,0.02013756024874283,0.12932843366296554,0.0817239432282447
income,logreg,NY,2018,combined,8000,0.03551363256317565,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.743,0.8208558771929145,0.7279576099957668,0.17098949029522467,0.033885079435201075,0.049011682379113575,0.005776119269387772,0.11673956419290638,0.07214840653090579
income,logreg,FL,2014,geographic,8000,0.09365426503168421,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.76225,0.81856133484596,0.6040612796848609,0.16103424579274048,0.10333258781281439,0.0593962443831802,0.006933231922788566,0.1149593964211941,0.05357550784307476
income,logreg,FL,2015,combined,8000,0.08622126419469714,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.761,0.8258684992743035,0.6188906430077389,0.15986495118893262,0.09712685533241804,0.06653069253237981,0.016157495378107914,0.12137472608241279,0.07018462716284898
income,logreg,FL,2016,combined,8000,0.0815561167758424,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.765,0.8278731518956972,0.6321090128647057,0.15940543596467113,0.09121839129759429,0.073904308285557,0.02299762840806094,0.14369696911327062,0.08946095826427737
income,logreg,FL,2017,combined,8000,0.061248955310089497,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.750125,0.8097061015344792,0.6389238762866869,0.1669102916386322,0.06935252231655475,0.05961290322580648,0.01982633585216316,0.11732104700854701,0.0564236590542556
income,logreg,FL,2018,combined,8000,0.052020915775094184,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.745375,0.8093591967498148,0.6551627626629014,0.16900734185795996,0.05867264094024814,0.0708484988744188,0.004138693478744557,0.1064156236985731,0.043581455869194305
income,logreg,PA,2014,geographic,8000,0.04975461672036908,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.778375,0.8306840732395949,0.654123840878626,0.1545890338575103,0.05820708469195871,0.07458107186778312,0.012144699237413695,0.08684859988304544,0.024425456134192475
income,logreg,PA,2015,combined,8000,0.04053735945397058,0.7795,0.8445203858493939,0.6890308388208033,0.15252912727573176,0.04030998751943116,0.039305704233053185,0.02254894444092559,0.06252596974396663,0.026410674152368308,0.770125,0.8307825425774392,0.6729332720877135,0.15588919862517578,0.05016309012989041,0.07685679475464502,0.033964613947825295,0.10217078346182973,0.05970888396044666
